year,quarter,district,income_avg,expand_avg
2019,2,1001010,2923445,12120296344
2019,2,1001009,3191004,8976116500
2019,2,1001008,2777404,6175425196
2019,2,1001007,2653084,1609692543
2019,2,1001006,3193152,10437230074
2019,2,1001005,3185505,10369642338
2019,2,1001004,3311237,14716607079
2019,2,1001003,3308821,11061346167
2019,2,1001002,3042980,12385543428
2019,2,1001001,2641963,13184559810
2019,2,1001000,2854291,9633724210
2019,2,1000999,3214328,15291679008
2019,2,1000998,2612221,13441191060
2019,2,1000997,2585123,7589354256
2019,2,1000996,2944028,6510829966
2019,2,1000995,2894731,7490772472
2019,2,1000994,3064355,5548362683
2019,2,1000993,3945596,7172329900
2019,2,1000992,3447482,10877531699
2019,2,1000991,2975718,12662514536
2019,2,1000990,3070238,10802348209
2019,2,1000989,2805519,12063332168
2019,2,1000988,2956141,12904029822
2019,2,1000987,2793657,8992675554
2019,2,1000986,3173667,14480332073
2019,2,1000985,2964912,16791123933
2019,2,1000984,3623029,8636080173
2019,2,1000983,3490558,9606744620
2019,2,1000982,3084883,2933191829
2019,2,1000981,3473228,10526122568
2019,2,1000980,3305519,9365327952
2019,2,1000979,3035837,10924319992
2019,2,1000978,2640026,11099649452
2019,2,1000977,3337692,10756042645
2019,2,1000976,4138352,7014592725
2019,2,1000975,2494064,1589131037
2019,2,1000974,4656704,4974821603
2019,2,1000973,2515465,13812455268
2019,2,1000972,2584947,12631883158
2019,2,1000971,2460256,11319059862
2019,2,1000970,4958921,5912488503
2019,2,1000969,3127660,6063189355
2019,2,1000968,2947178,11939687987
2019,2,1000967,3060410,8573806932
2019,2,1000966,2719433,6083461684
2019,2,1000965,4199038,10055757211
2019,2,1000964,3839387,8120492271
2019,2,1000963,3138357,14152982430
2019,2,1000962,4893329,9668197057
2019,2,1000961,4659474,8118011561
2019,2,1000960,3527979,9645918635
2019,2,1000959,3946242,8301455441
2019,2,1000958,3933768,8570559026
2019,2,1000957,3726689,8847985238
2019,2,1000956,3655377,11853230500
2019,2,1000955,4079681,11526565558
2019,2,1000954,4432724,20640818847
2019,2,1000953,3031221,13503440736
2019,2,1000952,3676873,13078601989
2019,2,1000951,3172509,13614831766
2019,2,1000950,3180972,9859612112
2019,2,1000949,3304351,9067785141
2019,2,1000948,2879612,13860411050
2019,2,1000947,3065681,13696878103
2019,2,1000946,2869442,14059110160
2019,2,1000945,3765597,16201663613
2019,2,1000944,3030310,13406284450
2019,2,1000943,4708429,13673396557
2019,2,1000942,2403250,8724842504
2019,2,1000941,4167763,8525158080
2019,2,1000940,2467115,7384746179
2019,2,1000939,5625145,8788276314
2019,2,1000938,3241346,8781540783
2019,2,1000937,5093719,9185644702
2019,2,1000936,3956501,4708027546
2019,2,1000935,4263924,2612255426
2019,2,1000934,3586405,8839001084
2019,2,1000933,3503476,9641993019
2019,2,1000932,5329643,8913755378
2019,2,1000931,5522260,6264551707
2019,2,1000930,4974822,11439650731
