year,quarter,district,b_worker
2019,2,1001010,3206
2019,2,1001009,7256
2019,2,1001008,5733
2019,2,1001007,19289
2019,2,1001006,2483
2019,2,1001005,6880
2019,2,1001004,6685
2019,2,1001003,6100
2019,2,1001002,4107
2019,2,1001001,4166
2019,2,1001000,5739
2019,2,1000999,6676
2019,2,1000998,2741
2019,2,1000997,2999
2019,2,1000996,3217
2019,2,1000995,3521
2019,2,1000994,3602
2019,2,1000993,20077
2019,2,1000992,5252
2019,2,1000991,4888
2019,2,1000990,5532
2019,2,1000989,4228
2019,2,1000988,4045
2019,2,1000987,5076
2019,2,1000986,9164
2019,2,1000985,2085
2019,2,1000984,14683
2019,2,1000983,17580
2019,2,1000982,19326
2019,2,1000981,4210
2019,2,1000980,4031
2019,2,1000979,3184
2019,2,1000978,3364
2019,2,1000977,4447
2019,2,1000976,1138
2019,2,1000975,804
2019,2,1000974,1564
2019,2,1000973,2229
2019,2,1000972,2948
2019,2,1000971,1523
2019,2,1000970,1181
2019,2,1000969,969
2019,2,1000968,4067
2019,2,1000967,9080
2019,2,1000966,3694
2019,2,1000965,3370
2019,2,1000964,7935
2019,2,1000963,14317
2019,2,1000962,14423
2019,2,1000961,8462
2019,2,1000960,14051
2019,2,1000959,10029
2019,2,1000958,19449
2019,2,1000957,24089
2019,2,1000956,8768
2019,2,1000955,14427
2019,2,1000954,7039
2019,2,1000953,10074
2019,2,1000952,5607
2019,2,1000951,9568
2019,2,1000950,6369
2019,2,1000949,5956
2019,2,1000948,5176
2019,2,1000947,6827
2019,2,1000946,5602
2019,2,1000945,8502
2019,2,1000944,4947
2019,2,1000943,5498
2019,2,1000942,1975
2019,2,1000941,3685
2019,2,1000940,2973
2019,2,1000939,11718
2019,2,1000938,11649
2019,2,1000937,18503
2019,2,1000936,25805
2019,2,1000935,60392
2019,2,1000934,8787
2019,2,1000933,4254
2019,2,1000932,15936
2019,2,1000931,43658
2019,2,1000930,81416
2019,2,1000929,11938
2019,2,1000928,1202
2019,2,1000927,23244
2019,2,1000926,27951
2019,2,1000925,16985
2019,2,1000924,22776
2019,2,1000923,38572
2019,2,1000922,9063
2019,2,1000921,8587
2019,2,1000920,5542
2019,2,1000919,3854
2019,2,1000918,14746
2019,2,1000917,13806
2019,2,1000916,22387
2019,2,1000915,10918
2019,2,1000914,24556
2019,2,1000913,27835
2019,2,1000912,20438
2019,2,1000911,11741
2019,2,1000910,17678
2019,2,1000909,33401
2019,2,1000908,31171
2019,2,1000907,26638
2019,2,1000906,18642
2019,2,1000905,15871
2019,2,1000904,24575
2019,2,1000903,6711
2019,2,1000902,20787
2019,2,1000901,31357
2019,2,1000900,40485
2019,2,1000899,17546
2019,2,1000898,32163
2019,2,1000897,9297
2019,2,1000896,25530
2019,2,1000895,10346
2019,2,1000894,27586
2019,2,1000893,15492
2019,2,1000892,1055
2019,2,1000891,6377
2019,2,1000890,23049
2019,2,1000889,24838
2019,2,1000888,26152
2019,2,1000887,29345
2019,2,1000886,9000
2019,2,1000885,22771
2019,2,1000884,5186
2019,2,1000883,14096
2019,2,1000882,7160
2019,2,1000881,11706
2019,2,1000880,10325
2019,2,1000879,11331
2019,2,1000878,11516
2019,2,1000877,10761
2019,2,1000876,24278
2019,2,1000875,19109
2019,2,1000874,4549
2019,2,1000873,13808
2019,2,1000872,8265
2019,2,1000871,15329
2019,2,1000870,12434
2019,2,1000869,11529
2019,2,1000868,14242
2019,2,1000867,5882
2019,2,1000866,5448
2019,2,1000865,18595
2019,2,1000864,4598
2019,2,1000863,7297
2019,2,1000862,11128
2019,2,1000861,8083
2019,2,1000860,27002
2019,2,1000859,15944
2019,2,1000858,6538
2019,2,1000857,25883
2019,2,1000856,9999
2019,2,1000855,6928
2019,2,1000854,6787
2019,2,1000853,9370
2019,2,1000852,32189
2019,2,1000851,12871
2019,2,1000850,23689
2019,2,1000849,21170
2019,2,1000848,14323
2019,2,1000847,31663
2019,2,1000846,93247
2019,2,1000845,24660
2019,2,1000844,15708
2019,2,1000843,1194
2019,2,1000842,690
2019,2,1000841,1522
2019,2,1000840,1570
2019,2,1000839,3062
2019,2,1000838,1601
2019,2,1000837,4922
