year,quarter,district,open_rate,close_rate
2019,2,1001496,101,60
2019,2,1001495,95,52
2019,2,1001494,144,65
2019,2,1001493,131,54
2019,2,1001492,143,59
2019,2,1001491,117,59
2019,2,1001490,110,48
2019,2,1001489,116,45
2019,2,1001488,100,45
2019,2,1001487,160,67
2019,2,1001486,173,92
2019,2,1001485,101,46
2019,2,1001484,108,58
2019,2,1001483,99,52
2019,2,1001482,133,61
2019,2,1001481,113,49
2019,2,1001480,108,53
2019,2,1001479,105,51
2019,2,1001478,102,52
2019,2,1001477,125,56
2019,2,1001476,113,48
2019,2,1001475,81,52
2019,2,1001474,117,56
2019,2,1001473,136,66
2019,2,1001472,99,57
2019,2,1001471,99,49
2019,2,1001470,100,56
2019,2,1001469,120,52
2019,2,1001468,124,51
2019,2,1001467,93,81
2019,2,1001466,102,54
2019,2,1001465,159,94
2019,2,1001464,127,67
2019,2,1001463,131,50
2019,2,1001462,102,53
2019,2,1001461,88,45
2019,2,1001460,108,53
2019,2,1001459,112,54
2019,2,1001458,104,54
2019,2,1001457,139,70
2019,2,1001456,132,59
2019,2,1001455,125,52
2019,2,1001454,136,54
2019,2,1001453,65,48
2019,2,1001452,154,58
2019,2,1001451,135,58
2019,2,1001450,117,48
2019,2,1001449,115,57
2019,2,1001448,111,56
2019,2,1001447,136,54
2019,2,1001446,107,48
2019,2,1001445,198,47
2019,2,1001444,97,54
2019,2,1001443,84,62
2019,2,1001442,146,65
2019,2,1001441,174,62
2019,2,1001440,85,57
2019,2,1001439,93,55
2019,2,1001438,109,61
2019,2,1001437,110,78
2019,2,1001436,160,87
2019,2,1001435,141,70
2019,2,1001434,201,105
2019,2,1001433,128,54
2019,2,1001432,117,79
2019,2,1001431,127,60
2019,2,1001430,112,56
2019,2,1001429,103,57
2019,2,1001428,117,69
2019,2,1001427,111,57
2019,2,1001426,129,84
2019,2,1001425,283,0
2019,2,1001424,117,49
2019,2,1001423,157,84
2019,2,1001422,127,60
2019,2,1001421,135,51
2019,2,1001420,123,58
2019,2,1001419,128,59
2019,2,1001418,119,53
2019,2,1001417,110,56
2019,2,1001416,62,59
2019,2,1001415,115,49
2019,2,1001414,110,60
2019,2,1001413,103,53
2019,2,1001412,138,55
2019,2,1001411,112,50
2019,2,1001410,140,54
2019,2,1001409,134,56
2019,2,1001408,80,44
2019,2,1001407,98,69
2019,2,1001406,103,54
2019,2,1001405,129,63
2019,2,1001404,113,55
2019,2,1001403,94,54
2019,2,1001402,142,57
2019,2,1001401,142,54
2019,2,1001400,143,45
2019,2,1001399,126,46
2019,2,1001398,94,50
2019,2,1001397,110,49
2019,2,1001396,98,49
2019,2,1001395,111,50
2019,2,1001394,118,55
2019,2,1001393,107,60
2019,2,1001392,71,52
2019,2,1001391,109,53
2019,2,1001390,88,54
2019,2,1001389,64,67
2019,2,1001388,119,53
2019,2,1001387,125,38
2019,2,1001386,175,48
2019,2,1001385,124,64
2019,2,1001384,138,56
2019,2,1001383,134,55
2019,2,1001382,104,95
2019,2,1001381,170,117
2019,2,1001380,98,46
2019,2,1001379,150,88
2019,2,1001378,117,75
2019,2,1001377,124,60
2019,2,1001376,175,82
2019,2,1001375,123,59
2019,2,1001374,109,61
2019,2,1001373,123,70
2019,2,1001372,123,79
2019,2,1001371,102,55
2019,2,1001370,151,46
2019,2,1001369,78,72
2019,2,1001368,123,58
2019,2,1001367,109,43
2019,2,1001366,276,123
2019,2,1001365,128,55
2019,2,1001364,108,49
2019,2,1001363,101,57
2019,2,1001362,82,55
2019,2,1001361,112,47
2019,2,1001360,109,49
2019,2,1001359,119,52
2019,2,1001358,140,42
2019,2,1001357,117,59
2019,2,1001356,119,45
2019,2,1001355,120,53
2019,2,1001354,99,55
2019,2,1001353,131,62
2019,2,1001352,110,51
2019,2,1001351,102,60
2019,2,1001350,130,68
2019,2,1001349,92,47
2019,2,1001348,113,48
2019,2,1001347,103,47
2019,2,1001346,133,51
2019,2,1001345,182,56
2019,2,1001344,151,66
2019,2,1001343,132,64
2019,2,1001342,104,57
2019,2,1001341,157,67
2019,2,1001340,126,60
2019,2,1001339,117,59
2019,2,1001338,128,61
2019,2,1001337,136,57
2019,2,1001336,118,53
2019,2,1001335,98,54
2019,2,1001334,118,51
2019,2,1001333,91,57
2019,2,1001332,109,50
2019,2,1001331,126,49
2019,2,1001330,110,51
2019,2,1001329,106,53
2019,2,1001328,128,50
2019,2,1001327,117,46
2019,2,1001326,112,53
2019,2,1001325,113,55
2019,2,1001324,124,55
2019,2,1001323,104,45
2019,2,1001322,148,79
2019,2,1001321,144,54
2019,2,1001320,158,57
2019,2,1001319,141,77
2019,2,1001318,138,79
2019,2,1001317,145,79
2019,2,1001316,138,64
2019,2,1001315,84,117
2019,2,1001314,182,100
2019,2,1001313,121,72
2019,2,1001312,93,37
2019,2,1001311,305,130
2019,2,1001310,308,87
2019,2,1001309,127,59
2019,2,1001308,89,53
2019,2,1001307,119,49
2019,2,1001306,136,48
2019,2,1001305,178,28
2019,2,1001304,121,51
2019,2,1001303,162,67
2019,2,1001302,101,53
2019,2,1001301,116,51
2019,2,1001300,94,49
2019,2,1001299,123,49
2019,2,1001298,111,49
2019,2,1001297,112,60
2019,2,1001296,131,64
2019,2,1001295,110,54
2019,2,1001294,116,55
2019,2,1001293,133,80
2019,2,1001292,96,47
2019,2,1001291,146,80
2019,2,1001290,129,61
2019,2,1001289,133,54
2019,2,1001288,140,69
2019,2,1001287,83,66
2019,2,1001286,98,71
2019,2,1001285,103,65
2019,2,1001284,133,75
2019,2,1001283,107,54
2019,2,1001282,123,61
2019,2,1001281,112,58
2019,2,1001280,95,53
2019,2,1001279,120,53
2019,2,1001278,125,56
2019,2,1001277,150,69
2019,2,1001276,130,53
2019,2,1001275,139,55
2019,2,1001274,142,68
2019,2,1001273,138,60
2019,2,1001272,206,39
2019,2,1001271,111,49
2019,2,1001270,138,58
2019,2,1001269,79,56
2019,2,1001268,155,74
2019,2,1001267,148,68
2019,2,1001266,136,66
2019,2,1001265,210,87
2019,2,1001264,120,62
2019,2,1001263,92,47
2019,2,1001262,107,44
2019,2,1001261,104,48
2019,2,1001260,102,50
2019,2,1001259,111,51
2019,2,1001258,89,51
2019,2,1001257,98,49
2019,2,1001256,103,49
2019,2,1001255,100,41
2019,2,1001254,90,49
2019,2,1001253,122,67
2019,2,1001252,122,56
2019,2,1001251,97,51
2019,2,1001250,104,46
2019,2,1001249,132,63
2019,2,1001248,102,47
2019,2,1001247,95,53
2019,2,1001246,106,52
2019,2,1001245,102,49
2019,2,1001244,90,48
2019,2,1001243,98,49
2019,2,1001242,97,55
2019,2,1001241,111,49
2019,2,1001240,88,53
2019,2,1001239,50,35
2019,2,1001238,168,62
2019,2,1001237,116,55
2019,2,1001236,102,56
2019,2,1001235,126,57
2019,2,1001234,108,57
2019,2,1001233,120,54
2019,2,1001232,108,57
2019,2,1001231,132,45
2019,2,1001230,141,65
2019,2,1001229,149,68
2019,2,1001228,134,57
2019,2,1001227,109,59
2019,2,1001226,107,57
2019,2,1001225,123,38
2019,2,1001224,97,48
2019,2,1001223,125,57
2019,2,1001222,126,51
2019,2,1001221,94,46
2019,2,1001220,96,50
2019,2,1001219,131,64
2019,2,1001218,142,69
2019,2,1001217,131,72
2019,2,1001216,128,56
2019,2,1001215,142,68
2019,2,1001214,143,58
2019,2,1001213,104,57
2019,2,1001212,126,60
2019,2,1001211,135,50
2019,2,1001210,118,58
2019,2,1001209,127,64
2019,2,1001208,138,63
2019,2,1001207,158,55
2019,2,1001206,127,60
2019,2,1001205,149,60
2019,2,1001204,160,60
2019,2,1001203,156,55
2019,2,1001202,112,72
2019,2,1001201,116,57
2019,2,1001200,151,59
2019,2,1001199,161,57
2019,2,1001198,117,55
2019,2,1001197,116,50
2019,2,1001196,130,68
2019,2,1001195,107,56
2019,2,1001194,71,46
2019,2,1001193,110,48
2019,2,1001192,123,59
