year,quarter,district,facil_total,bank,pharm,theater,subway_st,bus_st
2019,2,1001134,92,19,9,2,1,11
2019,2,1001361,1,,,,,
2019,2,1001387,2,,,2,,
2019,2,1001366,1,,,,,
2019,2,1001308,4,,,,,
2019,2,1001463,3,,1,,,1
2019,2,1001327,4,,1,,,1
2019,2,1000950,4,,,,,
2019,2,1000788,6,,,,,
2019,2,1000642,3,,,,,1
2019,2,1000546,1,,,,,
2019,2,1000575,5,1,,,,2
2019,2,1000434,7,,,,,
2019,2,1000475,8,1,,,,1
2019,2,1000406,7,,1,,,1
2019,2,1000266,6,,2,,,2
2019,2,1001152,10,4,1,1,,1
2019,2,1000569,8,,1,,,
2019,2,1000797,16,,2,,,2
2019,2,1001398,4,,2,,,
2019,2,1001283,7,1,2,,,
2019,2,1000908,6,,1,,,
2019,2,1000627,4,,1,,,
2019,2,1000874,7,,,,,5
2019,2,1000806,16,,1,,,4
2019,2,1000299,11,,1,,,1
2019,2,1001040,57,1,3,1,1,3
2019,2,1001008,7,,,1,,2
2019,2,1000398,12,,,,,1
2019,2,1000251,8,,,,,3
2019,2,1000595,10,,,,,3
2019,2,1000448,8,,,,,1
2019,2,1000110,20,3,1,1,1,2
2019,2,1001223,120,10,6,7,1,14
2019,2,1000234,7,,1,,,3
2019,2,1000019,24,,,,,5
2019,2,1000056,19,,3,,,4
2019,2,1000692,11,,3,,,2
2019,2,1000835,13,,3,,,2
2019,2,1000718,12,,1,,,2
2019,2,1001081,55,5,2,1,,4
2019,2,1001192,43,1,5,2,1,1
2019,2,1001261,56,2,7,,,2
2019,2,1001287,2,,,,,
2019,2,1001141,179,10,10,8,,4
2019,2,1001190,31,1,1,2,1,4
2019,2,1000327,3,1,1,,,
2019,2,1001335,1,,,,,
2019,2,1000152,2,,,,,
2019,2,1001407,1,,,,,
2019,2,1001315,1,,,,,
2019,2,1000560,4,,,,,
2019,2,1000267,3,,,,,
2019,2,1001428,2,,,,,
2019,2,1000576,4,,,,,
2019,2,1001006,6,,,,,2
2019,2,1000164,6,,1,,,1
2019,2,1000170,3,,1,,,
2019,2,1001020,12,1,2,1,,4
2019,2,1000590,6,,,,,3
2019,2,1000686,3,,,,,2
2019,2,1000737,13,,,,,6
2019,2,1001376,6,,1,,,
2019,2,1000607,4,,,,,1
2019,2,1001363,2,,2,,,
2019,2,1000658,6,,2,,,
2019,2,1001414,30,1,3,,,2
2019,2,1000909,2,,1,,,
2019,2,1000751,5,,,,,4
2019,2,1000025,4,,,,,3
2019,2,1000822,2,,,,,2
2019,2,1000463,7,1,1,,,1
2019,2,1000471,9,,2,,,
2019,2,1000924,11,,1,,,1
2019,2,1000586,2,,,,,1
2019,2,1000209,1,,,,,
2019,2,1000891,5,,,,,3
2019,2,1000225,4,,1,,,1
2019,2,1001462,1,,,,,
2019,2,1000548,7,,,,,
2019,2,1000332,6,,,,,
2019,2,1001069,7,,1,,,1
2019,2,1000248,15,,1,,,1
2019,2,1000078,14,1,3,,,1
2019,2,1001294,4,1,1,,,1
2019,2,1001484,6,,1,,,1
2019,2,1000321,7,,1,,,
2019,2,1000316,8,,3,,,1
2019,2,1000947,10,,1,,,
2019,2,1000298,6,,2,,,1
2019,2,1000591,19,1,2,,,2
2019,2,1000427,4,,1,,,
2019,2,1000815,14,,2,,,
2019,2,1001469,5,,1,,,
2019,2,1000376,9,,2,,,2
2019,2,1000205,9,,2,,,1
2019,2,1000142,19,,4,,,1
2019,2,1001262,37,3,2,,,2
2019,2,1001165,57,2,7,,1,3
2019,2,1001065,20,1,4,,,2
2019,2,1001060,32,4,3,,1,5
2019,2,1000773,12,,2,,,2
2019,2,1001136,9,,,,,1
2019,2,1001023,63,11,5,,1,18
2019,2,1001237,22,,2,,1,2
2019,2,1000566,17,,1,,,8
2019,2,1001340,20,1,4,,,5
2019,2,1000675,10,,,,,3
2019,2,1000093,8,,,,,3
2019,2,1000097,14,,,,1,7
2019,2,1000065,12,,2,,,4
2019,2,1000300,12,,1,,,2
2019,2,1001149,28,4,4,,,3
2019,2,1000511,11,1,1,,,2
2019,2,1000183,9,,1,,,1
2019,2,1000168,13,,1,,,
2019,2,1000574,7,1,,,,2
2019,2,1001350,29,2,3,1,,3
2019,2,1001115,41,3,3,,1,3
2019,2,1000041,7,1,,,,
2019,2,1000079,13,2,,,,2
2019,2,1000094,8,1,,,,1
2019,2,1000743,24,,4,1,,1
2019,2,1000684,16,1,1,,,4
2019,2,1000233,15,2,1,,,3
2019,2,1000239,16,,1,,,1
2019,2,1000186,3,,,,,
2019,2,1000923,14,2,,,,2
2019,2,1000929,7,,,,,
2019,2,1001222,39,1,5,,,5
2019,2,1001216,70,2,5,4,,5
2019,2,1001290,7,,,,,
2019,2,1000495,7,,,1,,1
2019,2,1000006,24,,2,4,,4
2019,2,1000353,5,,,,,
2019,2,1001354,5,,2,,,
2019,2,1000807,9,,,,,3
2019,2,1000814,13,,,,,
2019,2,1000617,11,,1,,,3
2019,2,1000624,8,,,,,4
2019,2,1000554,12,,1,,,2
2019,2,1000876,3,,,,,
2019,2,1000988,5,,,,,1
2019,2,1000160,12,1,1,,,2
2019,2,1000132,7,,1,,,
2019,2,1000156,27,,3,,,7
2019,2,1000048,22,1,1,,,1
2019,2,1000423,7,,,,,3
2019,2,1000045,32,,,1,,2
2019,2,1000717,7,,,,,2
2019,2,1000261,11,1,2,,,2
2019,2,1000437,15,1,1,,,1
2019,2,1000552,9,,1,,,
2019,2,1000760,15,,,,,2
2019,2,1000235,10,,1,,,1
2019,2,1001189,63,1,2,,,5
2019,2,1000401,17,1,1,,,4
2019,2,1000269,13,,1,,,2
2019,2,1001239,58,7,6,6,,6
2019,2,1000650,18,1,3,,,3
2019,2,1000577,13,1,1,,,1
2019,2,1000349,15,1,2,,,3
2019,2,1001159,41,2,5,,1,1
2019,2,1000536,6,,,,,1
2019,2,1001091,17,1,2,,,4
2019,2,1001107,67,1,3,,,1
2019,2,1001083,10,1,2,,,
2019,2,1001245,56,1,4,,,5
2019,2,1001448,25,2,5,,,3
2019,2,1000171,3,,1,,,1
2019,2,1000385,19,,3,,,7
2019,2,1000664,11,,1,,,1
2019,2,1000633,7,1,1,,,2
2019,2,1001309,2,,,,,
2019,2,1000346,37,1,5,,,10
2019,2,1000981,47,1,7,,1,4
2019,2,1001058,19,,2,,,2
2019,2,1000273,17,1,2,,,3
2019,2,1000954,36,1,7,,,4
2019,2,1001257,77,2,7,,,9
2019,2,1000772,20,,2,,,4
2019,2,1000800,23,1,3,,,4
2019,2,1000603,12,,2,,,
2019,2,1000854,11,,2,,,2
2019,2,1001266,16,5,1,,1,1
2019,2,1000166,25,,5,,,5
2019,2,1001490,17,,3,,,1
2019,2,1000523,12,,1,,,2
2019,2,1001256,69,2,4,,1,5
2019,2,1001037,66,2,11,,,4
2019,2,1000708,22,,5,,,1
2019,2,1000843,6,,2,,,
2019,2,1000826,14,,2,,,6
2019,2,1000588,22,3,5,,,1
2019,2,1000337,32,,5,,,2
2019,2,1000941,34,3,5,,,1
2019,2,1000944,37,1,7,,,4
2019,2,1000184,13,,3,,,2
