year,quarter,district,floatpop
2014,1,1000001,147154
2014,1,1000002,189584
2014,1,1000003,97007
2014,1,1000004,95160
2014,1,1000005,81885
2014,1,1000006,71933
2014,1,1000007,88588
2014,1,1000008,37217
2014,1,1000009,15623
2014,1,1000010,106778
2014,1,1000011,284280
2014,1,1000012,97843
2014,1,1000013,56475
2014,1,1000014,91543
2014,1,1000015,203269
2014,1,1000016,175259
2014,1,1000017,78342
2014,1,1000018,379539
2014,1,1000019,202994
2014,1,1000020,405321
2014,1,1000021,108831
2014,1,1000022,120308
2014,1,1000023,423191
2014,1,1000024,228274
2014,1,1000025,106693
2014,1,1000026,9874
2014,1,1000027,71705
2014,1,1000028,383211
2014,1,1000029,101258
2014,1,1000030,581271
2014,1,1000031,93734
2014,1,1000032,315935
2014,1,1000033,327867
2014,1,1000034,201827
2014,1,1000035,52844
2014,1,1000036,107927
2014,1,1000037,445362
2014,1,1000038,97255
2014,1,1000039,163459
2014,1,1000040,235311
2014,1,1000041,205052
2014,1,1000042,195452
2014,1,1000043,1158929
2014,1,1000044,63478
2014,1,1000045,47909
2014,1,1000046,436798
2014,1,1000047,325351
2014,1,1000048,110076
2014,1,1000049,249377
2014,1,1000050,8974
2014,1,1000051,64708
2014,1,1000052,73040
2014,1,1000053,188490
2014,1,1000054,108050
2014,1,1000055,48804
2014,1,1000056,194793
2014,1,1000057,352845
2014,1,1000058,138916
2014,1,1000059,61356
2014,1,1000060,348831
2014,1,1000061,124934
2014,1,1000062,189634
2014,1,1000063,100571
2014,1,1000064,245948
2014,1,1000065,124824
2014,1,1000066,136288
2014,1,1000067,272051
2014,1,1000068,248566
2014,1,1000069,219549
2014,1,1000070,186949
2014,1,1000071,125605
2014,1,1000072,250565
2014,1,1000073,321601
2014,1,1000074,91395
2014,1,1000075,236899
2014,1,1000076,177837
2014,1,1000077,213371
2014,1,1000078,126383
2014,1,1000079,480047
2014,1,1000080,303509
2014,1,1000081,341940
2014,1,1000082,168907
2014,1,1000083,155541
2014,1,1000084,139543
2014,1,1000085,87189
2014,1,1000086,164372
2014,1,1000087,102725
2014,1,1000088,614824
2014,1,1000089,100952
2014,1,1000090,311981
2014,1,1000091,118387
2014,1,1000092,211362
2014,1,1000093,162870
2014,1,1000094,161692
2014,1,1000095,104358
2014,1,1000096,767676
2014,1,1000097,48806
2014,1,1000098,203653
2014,1,1000099,267633
2014,1,1000100,244340
2014,1,1000101,182811
2014,1,1000102,218667
2014,1,1000103,167764
2014,1,1000104,315553
2014,1,1000105,166476
2014,1,1000106,373652
2014,1,1000107,182178
2014,1,1000108,117836
2014,1,1000109,123470
2014,1,1000110,337154
2014,1,1000111,254997
2014,1,1000112,517960
2014,1,1000113,133324
2014,1,1000114,166106
2014,1,1000115,95811
2014,1,1000116,135582
2014,1,1000117,161564
2014,1,1000118,472840
2014,1,1000119,285220
2014,1,1000120,390640
2014,1,1000121,568305
2014,1,1000122,187788
2014,1,1000123,147942
2014,1,1000124,518220
2014,1,1000125,239482
2014,1,1000126,147938
2014,1,1000127,314185
2014,1,1000128,55839
2014,1,1000129,196292
2014,1,1000130,140257
2014,1,1000131,285120
2014,1,1000132,189104
2014,1,1000133,387679
2014,1,1000134,247317
2014,1,1000135,326092
2014,1,1000136,351710
2014,1,1000137,285591
2014,1,1000138,249959
2014,1,1000139,192606
2014,1,1000140,214326
2014,1,1000141,180907
2014,1,1000142,237308
2014,1,1000143,416099
2014,1,1000144,119201
2014,1,1000145,156348
2014,1,1000146,212311
2014,1,1000147,121628
2014,1,1000148,214764
2014,1,1000149,265237
2014,1,1000150,343958
2014,1,1000151,167264
2014,1,1000152,304222
2014,1,1000153,247552
2014,1,1000154,101776
2014,1,1000155,52437
2014,1,1000156,268421
2014,1,1000157,311524
2014,1,1000158,373970
2014,1,1000159,129259
2014,1,1000160,415428
2014,1,1000161,146235
2014,1,1000162,203338
2014,1,1000163,172278
2014,1,1000164,259305
2014,1,1000165,445938
2014,1,1000166,227695
2014,1,1000167,309749
