year,quarter,district,resid_total,household_total,household_apt
2019,2,1001496,26,15,0
2019,2,1001495,7083,3958,52
2019,2,1001494,1930,1500,180
2019,2,1001493,2012,1134,28
2019,2,1001492,1118,497,0
2019,2,1001491,5396,3366,0
2019,2,1001490,3178,1312,171
2019,2,1001489,613,261,97
2019,2,1001488,954,490,33
2019,2,1001487,139,117,0
2019,2,1001486,180,110,0
2019,2,1001485,351,179,0
2019,2,1001484,843,347,0
2019,2,1001483,887,496,0
2019,2,1001482,316,158,0
2019,2,1001481,2011,700,521
2019,2,1001480,2387,1300,0
2019,2,1001479,839,421,0
2019,2,1001478,5244,2547,112
2019,2,1001477,958,463,0
2019,2,1001476,2267,1132,0
2019,2,1001475,8,8,0
2019,2,1001474,235,87,74
2019,2,1001473,167,55,55
2019,2,1001472,85,43,0
2019,2,1001471,1171,722,0
2019,2,1001470,287,108,108
2019,2,1001469,94,62,0
2019,2,1001468,177,73,0
2019,2,1001467,75,30,0
2019,2,1001466,649,308,44
2019,2,1001465,49,35,0
2019,2,1001464,174,121,0
2019,2,1001463,53,42,0
2019,2,1001462,587,374,0
2019,2,1001461,3,1,0
2019,2,1001460,2249,1322,0
2019,2,1001459,418,273,0
2019,2,1001458,1476,965,0
2019,2,1001457,449,336,0
2019,2,1001456,13,7,0
2019,2,1001455,100,75,0
2019,2,1001454,427,339,0
2019,2,1001453,613,441,0
2019,2,1001452,649,422,0
2019,2,1001451,7,2,0
2019,2,1001450,563,313,0
2019,2,1001449,572,354,0
2019,2,1001448,1055,481,0
2019,2,1001447,1920,1084,0
2019,2,1001446,178,111,0
2019,2,1001445,56,40,0
2019,2,1001444,1623,945,0
2019,2,1001443,120,70,70
2019,2,1001442,16,10,0
2019,2,1001441,442,268,0
2019,2,1001440,165,130,0
2019,2,1001439,402,216,0
2019,2,1001438,333,164,0
2019,2,1001437,123,51,51
2019,2,1001436,91,45,0
2019,2,1001435,107,41,0
2019,2,1001433,721,396,122
2019,2,1001432,67,47,0
2019,2,1001431,287,157,0
2019,2,1001430,2332,1803,500
2019,2,1001429,403,186,0
2019,2,1001428,287,175,0
2019,2,1001427,2195,1189,0
2019,2,1001426,10,7,0
2019,2,1001425,43,18,0
2019,2,1001424,1682,831,0
2019,2,1001423,86,77,0
2019,2,1001422,159,95,0
2019,2,1001421,370,158,0
2019,2,1001420,611,272,61
2019,2,1001419,256,154,0
2019,2,1001418,657,389,0
2019,2,1001417,123,76,0
2019,2,1001416,172,157,0
2019,2,1001415,588,262,92
2019,2,1001414,522,230,0
2019,2,1001413,1150,571,28
2019,2,1001412,353,173,0
2019,2,1001411,1877,866,0
2019,2,1001409,1056,453,0
2019,2,1001408,70,39,0
2019,2,1001407,4,4,0
2019,2,1001406,263,168,0
2019,2,1001405,473,222,0
2019,2,1001404,169,87,0
2019,2,1001403,127,46,0
2019,2,1001402,168,82,0
2019,2,1001401,62,23,22
2019,2,1001400,342,187,0
2019,2,1001399,365,133,0
2019,2,1001398,1666,766,45
2019,2,1001397,1199,563,0
2019,2,1001396,1159,452,46
2019,2,1001395,1169,585,105
2019,2,1001394,1213,728,73
2019,2,1001392,36,18,0
2019,2,1001391,807,357,0
2019,2,1001390,1975,1039,0
2019,2,1001389,87,40,40
2019,2,1001388,250,125,125
2019,2,1001387,25,23,0
2019,2,1001386,68,35,0
2019,2,1001385,406,213,0
2019,2,1001384,9,6,0
2019,2,1001383,12,5,0
2019,2,1001382,155,68,68
2019,2,1001381,384,233,0
2019,2,1001380,510,250,0
2019,2,1001379,308,160,45
2019,2,1001378,128,74,0
2019,2,1001377,360,229,0
2019,2,1001376,114,70,0
2019,2,1001375,164,70,0
2019,2,1001374,606,299,0
2019,2,1001373,210,85,0
2019,2,1001372,15,7,0
2019,2,1001371,482,240,0
2019,2,1001370,11,11,0
2019,2,1001369,177,133,0
2019,2,1001368,256,130,0
2019,2,1001367,1972,880,129
2019,2,1001365,1582,802,0
2019,2,1001364,1000,473,0
2019,2,1001363,763,399,0
2019,2,1001362,374,183,0
2019,2,1001361,174,82,0
2019,2,1001360,1245,617,0
2019,2,1001359,2295,956,0
2019,2,1001358,63,29,0
2019,2,1001357,1479,638,0
2019,2,1001356,49,19,0
2019,2,1001355,734,427,0
2019,2,1001354,1669,725,0
2019,2,1001353,628,317,87
2019,2,1001352,1164,539,101
2019,2,1001351,138,73,0
2019,2,1001350,232,142,0
2019,2,1001349,1530,861,0
2019,2,1001348,30,15,0
2019,2,1001347,1847,903,0
2019,2,1001346,158,85,0
2019,2,1001345,80,47,0
2019,2,1001344,30,12,0
2019,2,1001343,1115,493,0
2019,2,1001342,236,112,0
2019,2,1001341,17,17,0
2019,2,1001340,1419,665,0
2019,2,1001339,1058,432,136
2019,2,1001338,218,120,0
2019,2,1001337,116,52,0
2019,2,1001336,2088,1054,40
2019,2,1001335,1448,587,0
2019,2,1001334,967,444,0
2019,2,1001333,1890,913,0
