year,quarter,district,s_worker
2019,2,1001496,26319
2019,2,1001495,23104
2019,2,1001494,38037
2019,2,1001493,20637
2019,2,1001492,174313
2019,2,1001491,8383
2019,2,1001490,965
2019,2,1001489,1365
2019,2,1001488,48
2019,2,1001487,99
2019,2,1001486,10
2019,2,1001485,37
2019,2,1001484,96
2019,2,1001483,237
2019,2,1001482,161
2019,2,1001481,418
2019,2,1001480,575
2019,2,1001479,488
2019,2,1001478,1555
2019,2,1001477,155
2019,2,1001476,62
2019,2,1001475,237
2019,2,1001474,164
2019,2,1001473,133
2019,2,1001472,164
2019,2,1001471,532
2019,2,1001470,81
2019,2,1001469,135
2019,2,1001468,47
2019,2,1001467,55
2019,2,1001466,112
2019,2,1001465,36
2019,2,1001464,16
2019,2,1001463,65
2019,2,1001462,67
2019,2,1001461,48
2019,2,1001460,126
2019,2,1001459,145
2019,2,1001458,306
2019,2,1001457,150
2019,2,1001456,65
2019,2,1001455,109
2019,2,1001454,31
2019,2,1001453,95
2019,2,1001452,288
2019,2,1001451,194
2019,2,1001450,261
2019,2,1001449,404
2019,2,1001448,204
2019,2,1001447,93
2019,2,1001446,238
2019,2,1001445,117
2019,2,1001444,309
2019,2,1001443,20
2019,2,1001442,26
2019,2,1001441,64
2019,2,1001440,304
2019,2,1001439,20
2019,2,1001438,37
2019,2,1001437,27
2019,2,1001436,173
2019,2,1001435,40
2019,2,1001433,222
2019,2,1001432,44
2019,2,1001431,185
2019,2,1001430,4220
2019,2,1001429,100
2019,2,1001428,20
2019,2,1001427,239
2019,2,1001426,77
2019,2,1001424,167
2019,2,1001423,929
2019,2,1001422,134
2019,2,1001421,32
2019,2,1001420,162
2019,2,1001419,26
2019,2,1001418,438
2019,2,1001417,16
2019,2,1001416,20
2019,2,1001415,490
2019,2,1001414,320
2019,2,1001413,510
2019,2,1001412,158
2019,2,1001411,253
2019,2,1001410,27
2019,2,1001409,91
2019,2,1001408,217
2019,2,1001407,10
2019,2,1001406,300
2019,2,1001405,19
2019,2,1001404,71
2019,2,1001403,123
2019,2,1001402,331
2019,2,1001400,7
2019,2,1001399,170
2019,2,1001398,49
2019,2,1001397,173
2019,2,1001396,80
2019,2,1001395,615
2019,2,1001394,263
2019,2,1001393,795
2019,2,1001392,50
2019,2,1001391,267
2019,2,1001390,255
2019,2,1001389,24
2019,2,1001388,38
2019,2,1001387,200
2019,2,1001386,40
2019,2,1001385,356
2019,2,1001384,49
2019,2,1001383,1829
2019,2,1001382,8
2019,2,1001381,18
2019,2,1001380,24
2019,2,1001379,122
2019,2,1001378,117
2019,2,1001377,169
2019,2,1001376,17
2019,2,1001375,92
2019,2,1001374,333
2019,2,1001373,35
2019,2,1001372,100
2019,2,1001371,74
2019,2,1001370,30
2019,2,1001369,57
2019,2,1001368,287
2019,2,1001367,299
2019,2,1001365,448
2019,2,1001364,168
2019,2,1001363,32
2019,2,1001362,44
2019,2,1001361,48
2019,2,1001360,105
2019,2,1001359,246
2019,2,1001358,24
2019,2,1001357,93
2019,2,1001356,41
2019,2,1001355,104
2019,2,1001354,133
2019,2,1001353,298
2019,2,1001352,85
2019,2,1001351,171
2019,2,1001350,246
2019,2,1001349,199
2019,2,1001348,132
2019,2,1001347,39
2019,2,1001346,27
2019,2,1001345,23
2019,2,1001344,15
2019,2,1001343,127
2019,2,1001342,25
2019,2,1001341,94
2019,2,1001340,313
2019,2,1001339,80
2019,2,1001338,232
2019,2,1001337,70
2019,2,1001336,584
2019,2,1001335,38
2019,2,1001334,160
2019,2,1001333,66
2019,2,1001332,250
2019,2,1001331,129
2019,2,1001330,558
2019,2,1001329,307
2019,2,1001328,25
2019,2,1001327,40
2019,2,1001326,141
2019,2,1001325,107
2019,2,1001324,88
2019,2,1001323,257
2019,2,1001322,40
2019,2,1001321,124
2019,2,1001320,105
2019,2,1001319,69
2019,2,1001318,20
2019,2,1001317,15
2019,2,1001316,1874
2019,2,1001315,26
2019,2,1001314,274
2019,2,1001313,175
2019,2,1001312,6
2019,2,1001310,8
2019,2,1001309,152
2019,2,1001308,27
2019,2,1001307,37
2019,2,1001306,85
2019,2,1001305,14
2019,2,1001304,75
2019,2,1001303,118
2019,2,1001302,135
2019,2,1001301,622
2019,2,1001300,63
2019,2,1001299,109
2019,2,1001298,149
2019,2,1001297,145
2019,2,1001296,111
2019,2,1001295,637
2019,2,1001294,1715
2019,2,1001293,48
2019,2,1001292,28
2019,2,1001291,220
2019,2,1001290,162
2019,2,1001289,97
2019,2,1001288,37
2019,2,1001287,35
2019,2,1001286,28
2019,2,1001285,1138
2019,2,1001284,858
2019,2,1001283,201
2019,2,1001282,623
2019,2,1001281,987
2019,2,1001280,397
2019,2,1001279,978
2019,2,1001278,241
2019,2,1001277,2936
2019,2,1001276,3741
2019,2,1001275,556
2019,2,1001274,1767
2019,2,1001273,11688
2019,2,1001272,156
2019,2,1001271,414
2019,2,1001270,127
2019,2,1001269,33
2019,2,1001268,314
2019,2,1001267,592
2019,2,1001266,4641
2019,2,1001265,971
2019,2,1001264,252
2019,2,1001263,1843
2019,2,1001262,931
2019,2,1001261,929
2019,2,1001260,1964
2019,2,1001259,250
2019,2,1001258,277
2019,2,1001257,3287
2019,2,1001256,1690
2019,2,1001255,156
2019,2,1001254,1164
2019,2,1001253,218
2019,2,1001252,495
2019,2,1001251,1081
2019,2,1001250,259
2019,2,1001249,441
2019,2,1001248,634
2019,2,1001247,258
2019,2,1001246,387
2019,2,1001245,3952
2019,2,1001244,329
